exc_prob,value
0.967852257,5
0.968536252,5
0.969220246,5
0.969904241,5
0.970588235,4.9
0.97127223,4.9
0.971956224,4.9
0.972640219,4.9
0.973324213,4.8
0.974008208,4.8
0.974692202,4.8
0.975376197,4.7
0.976060192,4.7
0.976744186,4.7
0.977428181,4.5
0.978112175,4.4
0.97879617,4.4
0.979480164,4.4
0.980164159,4.3
0.980848153,4.1
0.981532148,4.1
0.982216142,4
0.982900137,4
0.983584131,4
0.984268126,3.8
0.98495212,3.7
0.985636115,3.7
0.986320109,3.7
0.987004104,3.7
0.987688098,3.7
0.988372093,3.7
0.989056088,3.7
0.989740082,3.4
0.990424077,3.4
0.991108071,3.4
0.991792066,3.4
0.99247606,3.3
0.993160055,3.2
0.993844049,3.1
0.994528044,3.1
0.995212038,2.8
0.995896033,2.8
0.996580027,2.7
0.997264022,2.7
0.997948016,2.6
0.998632011,2.5
0.999316005,2.3
